REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND
VIC1,2022/09/20 04:00:00,4438
NSW1,2022/09/20 04:30:00,6768
QLD1,2022/09/20 04:30:00,5205
SA1,2022/09/20 04:30:00,1305
TAS1,2022/09/20 04:30:00,1036
VIC1,2022/09/20 04:30:00,4490
NSW1,2022/09/20 05:00:00,6861
QLD1,2022/09/20 05:00:00,5338
SA1,2022/09/20 05:00:00,1299
TAS1,2022/09/20 05:00:00,1055
VIC1,2022/09/20 05:00:00,4585
NSW1,2022/09/20 05:30:00,7160
QLD1,2022/09/20 05:30:00,5515
SA1,2022/09/20 05:30:00,1290
TAS1,2022/09/20 05:30:00,1094
VIC1,2022/09/20 05:30:00,4754
NSW1,2022/09/20 06:00:00,7461
QLD1,2022/09/20 06:00:00,5670
SA1,2022/09/20 06:00:00,1328
TAS1,2022/09/20 06:00:00,1136
VIC1,2022/09/20 06:00:00,5009
NSW1,2022/09/20 06:30:00,7983
QLD1,2022/09/20 06:30:00,5801
SA1,2022/09/20 06:30:00,1377
TAS1,2022/09/20 06:30:00,1201
VIC1,2022/09/20 06:30:00,5422
NSW1,2022/09/20 07:00:00,8217
QLD1,2022/09/20 07:00:00,5775
SA1,2022/09/20 07:00:00,1444
TAS1,2022/09/20 07:00:00,1269
VIC1,2022/09/20 07:00:00,5704
NSW1,2022/09/20 07:30:00,8085
QLD1,2022/09/20 07:30:00,5696
SA1,2022/09/20 07:30:00,1471
TAS1,2022/09/20 07:30:00,1315
VIC1,2022/09/20 07:30:00,5720
NSW1,2022/09/20 08:00:00,7828
QLD1,2022/09/20 08:00:00,5442
SA1,2022/09/20 08:00:00,1472
TAS1,2022/09/20 08:00:00,1307
VIC1,2022/09/20 08:00:00,5636
NSW1,2022/09/20 08:30:00,7412
QLD1,2022/09/20 08:30:00,5220
SA1,2022/09/20 08:30:00,1424
TAS1,2022/09/20 08:30:00,1275
VIC1,2022/09/20 08:30:00,5402
NSW1,2022/09/20 09:00:00,6882
QLD1,2022/09/20 09:00:00,4927
SA1,2022/09/20 09:00:00,1326
TAS1,2022/09/20 09:00:00,1216
VIC1,2022/09/20 09:00:00,5083
NSW1,2022/09/20 09:30:00,6510
QLD1,2022/09/20 09:30:00,4636
SA1,2022/09/20 09:30:00,1256
TAS1,2022/09/20 09:30:00,1179
VIC1,2022/09/20 09:30:00,4714
NSW1,2022/09/20 10:00:00,6243
QLD1,2022/09/20 10:00:00,4446
SA1,2022/09/20 10:00:00,1258
TAS1,2022/09/20 10:00:00,1131
VIC1,2022/09/20 10:00:00,4357
NSW1,2022/09/20 10:30:00,6046
QLD1,2022/09/20 10:30:00,4285
SA1,2022/09/20 10:30:00,1455
TAS1,2022/09/20 10:30:00,1092
VIC1,2022/09/20 10:30:00,4059
NSW1,2022/09/20 11:00:00,5955
QLD1,2022/09/20 11:00:00,4191
SA1,2022/09/20 11:00:00,1564
TAS1,2022/09/20 11:00:00,1067
VIC1,2022/09/20 11:00:00,3846
NSW1,2022/09/20 11:30:00,5903
QLD1,2022/09/20 11:30:00,4161
SA1,2022/09/20 11:30:00,1502
TAS1,2022/09/20 11:30:00,1064
VIC1,2022/09/20 11:30:00,3740
NSW1,2022/09/20 12:00:00,5861
QLD1,2022/09/20 12:00:00,4163
SA1,2022/09/20 12:00:00,1488
TAS1,2022/09/20 12:00:00,1047
VIC1,2022/09/20 12:00:00,3602
NSW1,2022/09/20 12:30:00,5818
QLD1,2022/09/20 12:30:00,4150
SA1,2022/09/20 12:30:00,1460
TAS1,2022/09/20 12:30:00,1053
VIC1,2022/09/20 12:30:00,3538
NSW1,2022/09/20 13:00:00,5801
QLD1,2022/09/20 13:00:00,4186
SA1,2022/09/20 13:00:00,1482
TAS1,2022/09/20 13:00:00,957
VIC1,2022/09/20 13:00:00,3514
NSW1,2022/09/20 13:30:00,5818
QLD1,2022/09/20 13:30:00,4311
SA1,2022/09/20 13:30:00,1546
TAS1,2022/09/20 13:30:00,1003
VIC1,2022/09/20 13:30:00,3574
NSW1,2022/09/20 14:00:00,5793
QLD1,2022/09/20 14:00:00,4502
SA1,2022/09/20 14:00:00,1639
TAS1,2022/09/20 14:00:00,1049
VIC1,2022/09/20 14:00:00,3705
NSW1,2022/09/20 14:30:00,5860
QLD1,2022/09/20 14:30:00,4754
SA1,2022/09/20 14:30:00,1700
TAS1,2022/09/20 14:30:00,1062
VIC1,2022/09/20 14:30:00,3896
NSW1,2022/09/20 15:00:00,6011
QLD1,2022/09/20 15:00:00,5052
SA1,2022/09/20 15:00:00,1744
TAS1,2022/09/20 15:00:00,1068
VIC1,2022/09/20 15:00:00,4014
NSW1,2022/09/20 15:30:00,6317
QLD1,2022/09/20 15:30:00,5474
SA1,2022/09/20 15:30:00,1776
TAS1,2022/09/20 15:30:00,1073
VIC1,2022/09/20 15:30:00,4266
NSW1,2022/09/20 16:00:00,6782
QLD1,2022/09/20 16:00:00,5926
SA1,2022/09/20 16:00:00,1715
TAS1,2022/09/20 16:00:00,1099
VIC1,2022/09/20 16:00:00,4558
NSW1,2022/09/20 16:30:00,7271
QLD1,2022/09/20 16:30:00,6328
SA1,2022/09/20 16:30:00,1754
TAS1,2022/09/20 16:30:00,1122
VIC1,2022/09/20 16:30:00,4972
NSW1,2022/09/20 17:00:00,7818
QLD1,2022/09/20 17:00:00,6706
SA1,2022/09/20 17:00:00,1798
TAS1,2022/09/20 17:00:00,1162
VIC1,2022/09/20 17:00:00,5241
NSW1,2022/09/20 17:30:00,8317
QLD1,2022/09/20 17:30:00,6945
SA1,2022/09/20 17:30:00,1858
TAS1,2022/09/20 17:30:00,1219
VIC1,2022/09/20 17:30:00,5551
NSW1,2022/09/20 18:00:00,8850
QLD1,2022/09/20 18:00:00,7057
SA1,2022/09/20 18:00:00,1905
TAS1,2022/09/20 18:00:00,1282
VIC1,2022/09/20 18:00:00,5917
NSW1,2022/09/20 18:30:00,9239
QLD1,2022/09/20 18:30:00,7156
